Hours,q_rej
0,0
199.6514333,0
199.882636,-32131.92077
202.2793281,-32131.92077
207.7206719,-32131.92077
210.117364,-62606.175
210.3485667,-62606.175
465.8927245,-62606.175
467.7916114,-62606.175
470.2083886,-62606.175
472.1072755,-62606.175
731.0952201,-62606.175
731.5555185,-62606.175
731.7314594,-62606.175
734.2685406,-62606.175
734.4444815,-62606.175
734.9047799,-62606.175
744,-32131.92077
872.5000588,-32131.92077
874.5728465,-32131.92077
879.4271535,-32131.92077
881.4999412,-32131.92077
969.8823904,-32131.92077
971.0090627,-32131.92077
974.9909373,-32131.92077
976.1176096,-32131.92077
1114.152877,-24213.49395
1119.847123,-51382.65
1283.122776,-51382.65
1286.877224,-51382.65
1331.746832,-51382.65
1334.253168,-51382.65
1379.785888,-51382.65
1382.214112,-51382.65
1416,-24213.49395
1431.515897,-24213.49395
1431.831535,-24213.49395
1432.715994,-24213.49395
1546.891513,-24213.49395
1551.108487,-24213.49395
1857.023648,-24213.49395
1864.976352,-24213.49395
1954.275037,-16090.71386
1959.724963,-37137.45
2145.698457,-37137.45
2147.486302,-37137.45
2147.972852,-16090.71386
2150.027148,3477.716667
2150.513698,3477.716667
2152.301543,3477.716667
2160,-16090.71386
2175.554479,-16090.71386
2219.368004,-16090.71386
2219.765279,-16090.71386
2222.234721,-16090.71386
2222.631996,-16090.71386
2385.935549,-16090.71386
2387.84736,-16090.71386
2390.15264,-16090.71386
2392.064451,-16090.71386
2433.416027,-6183.609285
2440.583973,-23736.225
2817.887923,-23736.225
2819.401145,-23736.225
2819.511096,-6183.609285
2822.488904,6165.833333
2822.598855,6165.833333
2824.112077,6165.833333
2880,-6183.609285
2890.905124,-6183.609285
2891.153749,4452.669633
2892.5,4452.669633
2893.5,4452.669633
2894.846251,-14337.6
2895.094876,-14337.6
2895.469065,-14337.6
2895.57913,-14337.6
2896.280323,-14337.6
3297.923052,-14337.6
3298.549419,-14337.6
3298.637483,4452.669633
3303.362517,39153.21667
3303.450581,39153.21667
3304.076948,39153.21667
3624,4452.669633
3639.581959,4452.669633
3639.869821,4452.669633
3640.840546,4452.669633
3682.926763,9718.037828
3687.073237,-6405.675
3707.200354,-6405.675
3710.799646,-6405.675
4210.734595,9718.037828
4215.265405,43921.03333
4281.776927,43921.03333
4288.223073,43921.03333
4306.07682,43921.03333
4311.92318,43921.03333
4344,9718.037828
4359.566584,9718.037828
4379.240982,9718.037828
4379.570181,12484.84419
4382.429819,-3714.825
4382.759018,-3714.825
4403.349029,-3714.825
4403.761881,-3714.825
4406.238119,-3714.825
4406.650971,-3714.825
4736.752645,12484.84419
4745.247355,48839.11667
4762.530789,48839.11667
4767.469211,48839.11667
4785.589523,48839.11667
4792.410477,48839.11667
5088,12484.84419
5103.524511,12484.84419
5103.853749,12484.84419
5104.739979,12484.84419
5532.499994,12484.84419
5533.500006,12484.84419
5673.850069,12484.84419
5674.405975,10476.1009
5674.455662,10476.1009
5679.544338,10476.1009
5679.594025,39183.31667
5680.149931,39183.31667
5832,10476.1009
5963.471086,3491.600828
5963.861151,3491.600828
5966.138849,3491.600828
5966.528914,-7264.95
6009.603945,-7264.95
6011.069207,-7264.95
6014.930793,-7264.95
6016.396055,-7264.95
6227.475581,3491.600828
6230.524419,25314.45
6515.097771,25314.45
6515.548155,25314.45
6518.451845,25314.45
6518.902229,25314.45
6539.735781,25314.45
6542.264219,25314.45
6552,3491.600828
6563.229482,-6540.463412
6566.770518,14095.9
6609.849091,14095.9
6616.150909,14095.9
6803.258955,14095.9
6806.741045,14095.9
6898.474322,14095.9
6903.525678,14095.9
6924.046996,14095.9
6925.953004,14095.9
7184.112358,-6540.463412
7193.887642,-19978.575
7283.069808,-19978.575
7283.545531,-19978.575
7283.719498,-19978.575
7286.280502,-19978.575
7286.454469,-19978.575
7286.930192,-19978.575
7296,-6540.463412
7472.816004,-6540.463412
7481.183996,-6540.463412
7811.856742,-6540.463412
7814.143258,-6540.463412
7857.121752,-6540.463412
7859.322986,-6540.463412
7862.677014,-6540.463412
7864.878248,-6540.463412
7953.589936,-20615.10441
7960.410064,-43334.475
8003.075989,-43334.475
8003.539376,-43334.475
8003.717538,-43334.475
8006.282462,-43334.475
8006.460624,-43334.475
8006.924011,-43334.475
8016,-20615.10441
8193.406106,-20615.10441
8195.95118,-20615.10441
8198.04882,-20615.10441
8200.593894,-20615.10441
8598.781341,-20615.10441
8600.080312,-30586.53722
8601.224075,-30586.53722
8608.775925,-30586.53722
8609.919688,-57278.85
8611.218659,-57278.85
8699.070254,-57278.85
8699.552166,-57278.85
8702.447834,-57278.85
8702.929746,-57278.85
8747.720156,-57278.85
8750.279844,-57278.85
8760,-30586.53722
9504,-32551.13538
10176,-24443.71395
10920,-16190.85337
11640,-6307.2786
12384,4579.790838
13104,9840.413831
13848,12837.65847
14592,10676.28166
15312,3538.326759
16056,-6618.806463
16776,-20830.31135
17520,-30939.54214
18264,-32551.13538
18936,-24443.71395
19680,-16190.85337
20400,-6307.2786
21144,4579.790838
21864,9840.413831
22608,12837.65847
23352,10676.28166
24072,3538.326759
24816,-6618.806463
25536,-20830.31135
26280,-30939.54214
27024,-32551.13538
27696,-24443.71395
28440,-16190.85337
29160,-6307.2786
29904,4579.790838
30624,9840.413831
31368,12837.65847
32112,10676.28166
32832,3538.326759
33576,-6618.806463
34296,-20830.31135
35040,-30939.54214
35784,-32551.13538
36456,-24443.71395
37200,-16190.85337
37920,-6307.2786
38664,4579.790838
39384,9840.413831
40128,12837.65847
40872,10676.28166
41592,3538.326759
42336,-6618.806463
43056,-20830.31135
43800,-30939.54214
44544,-32551.13538
45216,-24443.71395
45960,-16190.85337
46680,-6307.2786
47424,4579.790838
48144,9840.413831
48888,12837.65847
49632,10676.28166
50352,3538.326759
51096,-6618.806463
51816,-20830.31135
52560,-30939.54214
53304,-32551.13538
53976,-24443.71395
54720,-16190.85337
55440,-6307.2786
56184,4579.790838
56904,9840.413831
57648,12837.65847
58392,10676.28166
59112,3538.326759
59856,-6618.806463
60576,-20830.31135
61320,-30939.54214
62064,-32551.13538
62736,-24443.71395
63480,-16190.85337
64200,-6307.2786
64944,4579.790838
65664,9840.413831
66408,12837.65847
67152,10676.28166
67872,3538.326759
68616,-6618.806463
69336,-20830.31135
70080,-30939.54214
70824,-32551.13538
71496,-24443.71395
72240,-16190.85337
72960,-6307.2786
73704,4579.790838
74424,9840.413831
75168,12837.65847
75912,10676.28166
76632,3538.326759
77376,-6618.806463
78096,-20830.31135
78840,-30939.54214
79584,-32551.13538
80256,-24443.71395
81000,-16190.85337
81720,-6307.2786
82464,4579.790838
83184,9840.413831
83928,12837.65847
84672,10676.28166
85392,3538.326759
86136,-6618.806463
86856,-20830.31135
87600,-30939.54214
88344,-32551.13538
89016,-24443.71395
89760,-16190.85337
90480,-6307.2786
91224,4579.790838
91944,9840.413831
92688,12837.65847
93432,10676.28166
94152,3538.326759
94896,-6618.806463
95616,-20830.31135
96360,-30939.54214
97104,-32551.13538
97776,-24443.71395
98520,-16190.85337
99240,-6307.2786
99984,4579.790838
100704,9840.413831
101448,12837.65847
102192,10676.28166
102912,3538.326759
103656,-6618.806463
104376,-20830.31135
105120,-30939.54214
105864,-32551.13538
106536,-24443.71395
107280,-16190.85337
108000,-6307.2786
108744,4579.790838
109464,9840.413831
110208,12837.65847
110952,10676.28166
111672,3538.326759
112416,-6618.806463
113136,-20830.31135
113880,-30939.54214
114624,-32551.13538
115296,-24443.71395
116040,-16190.85337
116760,-6307.2786
117504,4579.790838
118224,9840.413831
118968,12837.65847
119712,10676.28166
120432,3538.326759
121176,-6618.806463
121896,-20830.31135
122640,-30939.54214
123384,-32551.13538
124056,-24443.71395
124800,-16190.85337
125520,-6307.2786
126264,4579.790838
126984,9840.413831
127728,12837.65847
128472,10676.28166
129192,3538.326759
129936,-6618.806463
130656,-20830.31135
131400,-30939.54214
132144,-32551.13538
132816,-24443.71395
133560,-16190.85337
134280,-6307.2786
135024,4579.790838
135744,9840.413831
136488,12837.65847
137232,10676.28166
137952,3538.326759
138696,-6618.806463
139416,-20830.31135
140160,-30939.54214
140904,-32551.13538
141576,-24443.71395
142320,-16190.85337
143040,-6307.2786
143784,4579.790838
144504,9840.413831
145248,12837.65847
145992,10676.28166
146712,3538.326759
147456,-6618.806463
148176,-20830.31135
148920,-30939.54214
149664,-32551.13538
150336,-24443.71395
151080,-16190.85337
151800,-6307.2786
152544,4579.790838
153264,9840.413831
154008,12837.65847
154752,10676.28166
155472,3538.326759
156216,-6618.806463
156936,-20830.31135
157680,-30939.54214
158424,-32551.13538
159096,-24443.71395
159840,-16190.85337
160560,-6307.2786
161304,4579.790838
162024,9840.413831
162768,12837.65847
163512,10676.28166
164232,3538.326759
164976,-6618.806463
165696,-20830.31135
166440,-30939.54214
166639.6514,-30939.54214
166639.8826,-32131.92077
166642.2793,-32131.92077
166647.7207,-32131.92077
166650.1174,-62606.175
166650.3486,-62606.175
166905.8927,-62606.175
166907.7916,-62606.175
166910.2084,-62606.175
166912.1073,-62606.175
167171.0952,-62606.175
