Hours,HPHtgLd_W,HPClgLd_W
0,0.0,0.0
1,38480.5,0.0
2,37297.6,0.0
3,37934.5,0.0
4,38337.2,0.0
5,38250.0,0.0
6,37264.3,0.0
7,35405.5,0.0
8,34905.6,0.0
9,36160.0,0.0
10,35637.6,0.0
11,34574.8,0.0
12,33342.2,0.0
13,32424.0,0.0
14,32186.6,0.0
15,32370.7,0.0
16,32652.7,0.0
17,32222.5,0.0
18,30230.2,0.0
19,29067.8,0.0
20,30259.6,0.0
21,31731.4,0.0
22,33388.3,0.0
23,36170.6,0.0
24,39144.1,0.0
25,41961.9,0.0
26,43666.2,0.0
27,45030.4,0.0
28,46543.3,0.0
29,47821.5,0.0
30,48130.3,0.0
31,47283.7,0.0
32,47491.2,0.0
33,44785.6,0.0
34,40501.4,0.0
35,36709.2,0.0
36,33697.8,0.0
37,30888.3,0.0
38,28238.0,0.0
39,26403.3,0.0
40,26624.9,0.0
41,29553.4,0.0
42,30619.6,0.0
43,31269.5,0.0
44,33736.5,0.0
45,36616.2,0.0
46,39060.0,0.0
47,42080.1,0.0
48,45126.6,0.0
49,47680.1,0.0
50,48879.2,0.0
51,49633.6,0.0
52,50137.8,0.0
53,50167.1,0.0
54,49160.8,0.0
55,46938.2,0.0
56,45855.8,0.0
57,45192.8,0.0
58,41712.0,0.0
59,38890.9,0.0
60,37278.9,0.0
61,35773.6,0.0
62,35248.7,0.0
63,35980.0,0.0
64,36145.7,0.0
65,35567.5,0.0
66,34152.0,0.0
67,32774.3,0.0
68,33339.8,0.0
69,34174.9,0.0
70,35745.6,0.0
71,38923.9,0.0
72,42313.9,0.0
73,44777.6,0.0
74,45668.7,0.0
75,46162.9,0.0
76,46830.1,0.0
77,47270.5,0.0
78,46743.0,0.0
79,44937.5,0.0
80,44033.4,0.0
81,43923.9,0.0
82,43302.5,0.0
83,41526.8,0.0
84,39625.0,0.0
85,38634.7,0.0
86,38074.1,0.0
87,37825.7,0.0
88,37440.3,0.0
89,36420.1,0.0
90,34621.5,0.0
91,32652.2,0.0
92,32689.0,0.0
93,33008.8,0.0
94,33551.6,0.0
95,35270.5,0.0
96,37130.1,0.0
97,38977.9,0.0
98,39940.8,0.0
99,40597.0,0.0
100,41083.3,0.0
101,41086.4,0.0
102,40204.9,0.0
103,38517.5,0.0
104,38157.1,0.0
105,38773.4,0.0
106,38139.9,0.0
107,35736.8,0.0
108,33142.5,0.0
109,31929.0,0.0
110,31601.6,0.0
111,32538.1,0.0
112,32665.9,0.0
113,31936.7,0.0
114,30497.7,0.0
115,28960.9,0.0
116,29205.4,0.0
117,29666.7,0.0
118,30510.2,0.0
119,32672.6,0.0
120,34978.3,0.0
121,37198.0,0.0
122,38391.3,0.0
123,39269.0,0.0
124,39760.7,0.0
125,39676.9,0.0
