,Time[hr],Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
1,1.000000,5.471988,4.632363,4.516081,3.704350,3.701267,3.545297,3.398849,4.896844,-9.504193,6.394839,4.896844,5.564084,-4.233376,6.231324,5.252705,5.722597,-2.981279,6.192488
2,2.000000,5.224395,4.427498,4.317430,3.486404,3.483577,3.340974,3.207090,4.574188,-9.157757,5.941286,4.574188,5.311500,-4.939023,6.048813,4.967421,5.518079,-3.688682,6.068737
3,3.000000,5.089361,4.266658,4.155341,3.380445,3.377485,3.220296,3.072741,4.409714,-8.842222,5.746687,4.409714,5.173260,-5.049803,5.936807,4.816939,5.400701,-3.860780,5.984464
4,4.000000,4.950937,4.153967,4.048142,3.241869,3.239143,3.083852,2.938091,4.245074,-9.081020,5.552057,4.245074,5.031522,-5.464299,5.817969,4.664513,5.278280,-4.264499,5.892047
5,5.000000,4.895737,4.084026,3.975178,3.211259,3.208374,3.050610,2.902533,4.189154,-8.690940,5.475775,4.189154,4.973786,-5.300073,5.758417,4.607624,5.225009,-4.170346,5.842394
6,6.000000,4.816088,4.028129,3.922895,3.115499,3.111765,2.966855,2.830840,4.099403,-8.865409,5.367965,4.099403,4.892008,-5.539156,5.684613,4.522125,5.152046,-4.402227,5.781966
7,7.000000,4.765583,3.981235,3.882627,3.186030,3.183387,3.060065,2.944290,4.080982,-8.474512,5.217673,4.080982,4.832011,-5.599239,5.583040,4.481531,5.090214,-4.537990,5.698898
8,8.000000,4.805639,4.252221,4.148250,3.346546,3.343873,3.221229,3.106078,4.163420,-7.483424,5.220763,4.163420,4.866462,-4.975829,5.569503,4.538376,5.111083,-4.053383,5.683791
9,9.000000,4.842143,4.287452,4.139435,3.386189,3.383226,3.258392,3.141183,4.211285,-7.070530,5.281387,4.211285,4.903703,-4.575044,5.596122,4.580575,5.141078,-3.703439,5.701582
10,10.000000,4.890957,4.492878,4.300021,3.509369,3.506372,3.383123,3.267393,4.287729,-6.458262,5.308065,4.287729,4.949689,-4.189903,5.611649,4.640774,5.176880,-3.393304,5.712986
11,11.000000,4.945912,4.562954,4.316061,3.584485,3.581189,3.465561,3.356293,4.362374,-5.963605,5.368455,4.362374,5.003994,-3.803241,5.645614,4.704571,5.221729,-3.065484,5.738887
12,12.000000,4.973974,4.630406,4.380977,3.624290,3.620237,3.519767,3.420755,4.403694,-5.768976,5.386633,4.403694,5.030867,-3.680944,5.658039,4.738186,5.243445,-2.965417,5.748703
13,13.000000,5.031247,4.703976,4.437034,3.724469,3.720006,3.630765,3.537988,4.485955,-5.202144,5.433922,4.485955,5.086211,-3.294019,5.686468,4.806092,5.288568,-2.647678,5.771044
14,14.000000,5.046490,4.754921,4.491477,3.730293,3.724617,3.651275,3.571673,4.508089,-5.208110,5.444504,4.508089,5.100867,-3.296886,5.693646,4.824237,5.300493,-2.648817,5.776749
15,15.000000,5.076478,4.797215,4.525340,3.783844,3.779380,3.711693,3.636772,4.551913,-4.932877,5.467053,4.551913,5.129664,-3.114249,5.707415,4.860047,5.323829,-2.499922,5.787611
16,16.000000,5.054539,4.801302,4.544554,3.734928,3.731486,3.666412,3.596193,4.521266,-5.281127,5.446339,4.521266,5.108289,-3.351239,5.695311,4.834345,5.306189,-2.693701,5.778034
17,17.000000,5.045777,4.793479,4.538335,3.743216,3.739900,3.664536,3.587837,4.511167,-5.303733,5.434497,4.511167,5.099331,-3.378495,5.687495,4.824854,5.298261,-2.719310,5.771667
18,18.000000,4.929852,4.455436,4.268520,3.473533,3.470548,3.399616,3.329276,4.341736,-6.611631,5.354196,4.341736,4.988368,-4.222683,5.635001,4.686607,5.207847,-3.403838,5.729087
19,19.000000,4.882820,4.235720,4.118438,3.333120,3.330089,3.255835,3.182212,4.264315,-6.793305,5.346419,4.264315,4.945469,-4.276199,5.626624,4.627597,5.174504,-3.433406,5.721410
20,20.000000,4.838077,4.287413,4.173518,3.311917,3.308911,3.227056,3.147701,4.212105,-6.883541,5.276509,4.212105,4.899482,-4.445291,5.586859,4.578706,5.134500,-3.594341,5.690294
21,21.000000,4.731840,3.940731,3.829958,3.026737,3.023867,2.930261,2.841424,4.042686,-7.962843,5.243948,4.042686,4.801211,-5.028059,5.559736,4.447233,5.057105,-4.042679,5.666977
22,22.000000,4.666061,3.973812,3.866263,2.995807,2.991915,2.886106,2.786774,3.965710,-8.050994,5.144646,3.965710,4.733745,-5.244938,5.501781,4.375329,4.998326,-4.254467,5.621323
23,23.000000,4.612190,3.854509,3.746219,2.919489,2.916679,2.789894,2.670893,3.890032,-8.270536,5.109171,3.890032,4.681858,-5.371680,5.473684,4.312339,4.954876,-4.358919,5.597414
24,24.000000,4.512970,3.779311,3.678490,2.827725,2.825058,2.684399,2.552395,3.769538,-8.863682,4.986680,3.769538,4.581715,-5.914576,5.393892,4.202699,4.867566,-4.841808,5.532433
25,25.000000,4.488490,3.735531,3.631374,2.834001,2.830973,2.669743,2.518454,3.741632,-8.628705,4.964810,3.741632,4.557155,-5.752968,5.372678,4.176578,4.844961,-4.714997,5.513344
26,26.000000,4.415934,3.688994,3.590078,2.757566,2.754620,2.593308,2.441951,3.657783,-9.024813,4.873614,3.657783,4.483415,-6.128462,5.309047,4.098120,4.779151,-5.055120,5.460181
27,27.000000,4.382742,3.633320,3.533504,2.741023,2.738121,2.564930,2.402442,3.620626,-8.962141,4.838809,3.620626,4.449880,-6.100800,5.279134,4.062895,4.748282,-5.042374,5.433669
28,28.000000,4.297763,3.574235,3.480449,2.656300,2.653506,2.479092,2.315466,3.524189,-9.465512,4.732911,3.524189,4.363399,-6.571861,5.202609,3.971767,4.670329,-5.470443,5.368891
29,29.000000,4.311415,3.653727,3.554815,2.724810,2.721940,2.531114,2.352103,3.548783,-8.889716,4.745463,3.548783,4.376163,-6.146317,5.203543,3.990053,4.678687,-5.115624,5.367321
30,30.000000,4.319175,3.786552,3.686883,2.768260,2.764317,2.577625,2.402482,3.569802,-8.605169,4.737122,3.569802,4.381989,-5.987227,5.194176,4.002968,4.680553,-4.994974,5.358138
31,31.000000,4.617740,4.513183,4.392792,3.692782,3.688393,3.473502,3.271818,4.048697,-4.763366,4.825577,4.048697,4.657607,-3.733472,5.266516,4.373449,4.896930,-3.209675,5.420410
32,32.000000,4.900304,5.433083,5.208160,4.577109,4.567120,4.336439,4.119827,4.510524,-2.193976,4.901220,4.510524,4.916952,-2.282323,5.323381,4.727286,5.098038,-2.081983,5.468791
33,33.000000,5.197755,6.172617,5.838600,5.570567,5.549780,5.294453,5.054573,4.996173,0.270598,4.937773,4.996173,5.188642,-0.891812,5.381110,5.098823,5.310819,-0.982296,5.522816
34,34.000000,5.412486,6.760657,6.355350,6.176478,6.152369,5.898661,5.660199,5.340525,1.392928,5.020852,5.340525,5.387309,-0.203852,5.434092,5.365477,5.466211,-0.438934,5.566945
35,35.000000,5.585539,7.106951,6.653798,6.603877,6.580538,6.332032,6.098382,5.617073,2.219144,5.135765,5.617073,5.549221,0.312841,5.481370,5.580886,5.590857,-0.045976,5.600829
36,36.000000,5.776340,7.384347,6.942663,7.113172,7.087471,6.859061,6.644204,5.933188,3.541123,5.222172,5.933188,5.725270,1.035512,5.517351,5.822298,5.723817,0.490475,5.625335
37,37.000000,5.969631,7.727983,7.355724,7.617773,7.587819,7.379548,7.183545,6.248533,4.795732,5.313520,6.248533,5.904553,1.764289,5.560574,6.065077,5.860549,1.049034,5.656021
38,38.000000,6.148583,8.081481,7.657491,8.044438,8.016242,7.819912,7.635080,6.530466,5.754129,5.425851,6.530466,6.072938,2.383341,5.615410,6.286451,5.991021,1.538949,5.695590
39,39.000000,6.287636,8.433064,8.019209,8.364589,8.345508,8.147483,7.961015,6.741309,6.204788,5.521602,6.741309,6.205243,2.727028,5.669177,6.455407,6.095898,1.828865,5.736389
40,40.000000,6.367206,8.675704,8.266011,8.494498,8.475330,8.267224,8.071255,6.845173,5.986586,5.619090,6.845173,6.284750,2.736373,5.724327,6.546281,6.162548,1.873646,5.778816
41,41.000000,6.405338,8.789434,8.418031,8.534636,8.508214,8.296941,8.097990,6.885485,5.568867,5.672980,6.885485,6.324430,2.576846,5.763376,6.586256,6.198574,1.780568,5.810893
42,42.000000,6.482669,8.959269,8.710068,8.777318,8.760149,8.566177,8.383468,7.016628,6.113377,5.649788,7.016628,6.393372,2.787597,5.770116,6.684224,6.252319,1.931756,5.820414
43,43.000000,6.230305,7.919098,7.644661,7.291515,7.272672,7.028708,6.799212,6.463254,1.117496,6.127296,6.463254,6.197700,0.883309,5.932147,6.321625,6.125938,0.650914,5.930251
44,44.000000,6.154828,7.743919,7.484272,7.082758,7.069128,6.819648,6.585004,6.314965,0.948102,6.044927,6.314965,6.131830,0.642986,5.948695,6.217293,6.083438,0.469963,5.949584
45,45.000000,5.941560,6.471702,6.198387,5.653811,5.638053,5.367030,5.112412,5.831003,-2.378457,6.549593,5.831003,5.971951,-0.466523,6.112899,5.906175,5.982000,-0.250971,6.057825
46,46.000000,5.837782,6.198219,5.972527,5.394386,5.385628,5.118963,4.868476,5.639238,-2.612737,6.410000,5.639238,5.878573,-0.811301,6.117908,5.766883,5.918809,-0.514998,6.070734
47,47.000000,5.608917,5.547046,5.382348,4.486626,4.481734,4.264895,4.061275,5.212614,-5.197564,6.363953,5.212614,5.677497,-2.098652,6.142380,5.460552,5.778477,-1.435231,6.096402
48,48.000000,5.416920,5.238675,5.095948,4.125297,4.121077,3.912663,3.716991,4.916097,-6.230033,6.115203,4.916097,5.491998,-2.992133,6.067900,5.223244,5.638263,-2.156255,6.053281
49,49.000000,5.295903,5.035172,4.895212,3.952774,3.948683,3.733106,3.530741,4.745290,-6.438301,5.959839,4.745290,5.371949,-3.321909,5.998609,5.079508,5.543211,-2.458081,6.006914
50,50.000000,5.174579,4.862337,4.730361,3.749176,3.745270,3.543344,3.353803,4.579821,-6.890616,5.805839,4.579821,5.250996,-3.772222,5.922172,4.937781,5.445205,-2.851884,5.952628
51,51.000000,5.105840,4.738620,4.605294,3.660453,3.656566,3.454141,3.264144,4.491758,-6.823952,5.719371,4.491758,5.181585,-3.834555,5.871413,4.859666,5.387182,-2.932314,5.914699
52,52.000000,5.012208,4.616733,4.491023,3.516295,3.512568,3.321944,3.143028,4.370918,-7.227549,5.598808,4.370918,5.087396,-4.217299,5.803874,4.753040,5.308401,-3.268943,5.863763
53,53.000000,5.027522,4.815621,4.686445,3.738983,3.735219,3.541442,3.359542,4.433340,-6.157490,5.507138,4.433340,5.092671,-3.780804,5.752001,4.784983,5.304709,-2.980271,5.824435
54,54.000000,5.024863,4.941604,4.815266,3.814861,3.809878,3.630603,3.462291,4.456746,-5.840622,5.451200,4.456746,5.084233,-3.685354,5.711721,4.791406,5.291671,-2.938152,5.791936
55,55.000000,5.365153,6.236237,6.089379,5.389683,5.384349,5.194989,5.017033,5.118344,-0.516101,5.219655,5.118344,5.371008,-1.287126,5.623673,5.253098,5.493216,-1.223210,5.733334
56,56.000000,5.648429,7.246293,6.992137,6.418522,6.407218,6.224517,6.052691,5.636352,2.094080,5.220014,5.636352,5.620344,0.080517,5.604336,5.627815,5.671987,-0.222178,5.716160
57,57.000000,5.885290,7.855629,7.518526,7.283809,7.262820,7.059651,6.868488,6.053264,3.786094,5.238040,6.053264,5.832201,1.026666,5.611139,5.935364,5.828064,0.498327,5.720763
58,58.000000,6.070232,8.368966,7.963933,7.891910,7.867804,7.652808,7.450444,6.368896,4.766786,5.287349,6.368896,6.000189,1.625033,5.631481,6.172252,5.953637,0.963520,5.735022
59,59.000000,6.201237,8.619821,8.148003,8.118029,8.093737,7.892262,7.702581,6.568755,5.072778,5.434928,6.568755,6.126278,1.979656,5.683801,6.332767,6.050916,1.261013,5.769064
60,60.000000,6.314637,8.777213,8.294304,8.310777,8.282710,8.095416,7.919049,6.737754,5.431483,5.556459,6.737754,6.236174,2.306217,5.734594,6.470245,6.136801,1.533143,5.803357
61,61.000000,6.428591,8.960487,8.546815,8.583238,8.549982,8.373699,8.207659,6.916750,6.011135,5.625841,6.916750,6.343603,2.668869,5.770455,6.611072,6.220042,1.820835,5.829012
62,62.000000,6.527091,9.148557,8.670339,8.781897,8.750168,8.590780,8.440620,7.068343,6.384861,5.696066,7.068343,6.437155,2.936759,5.805967,6.731710,6.293242,2.040079,5.854775
63,63.000000,6.604254,9.313331,8.852598,8.919631,8.898403,8.746684,8.603728,7.182663,6.535386,5.761598,7.182663,6.511427,3.086973,5.840190,6.824670,6.352349,2.172175,5.880028
64,64.000000,6.674223,9.396288,8.965157,9.010657,8.990501,8.841683,8.701449,7.278117,6.642004,5.854785,7.278117,6.581083,3.252720,5.884049,6.906366,6.408916,2.321355,5.911467
65,65.000000,6.755378,9.483597,9.121070,9.177878,9.152097,9.016530,8.888759,7.400130,7.041659,5.911501,7.400130,6.658615,3.507587,5.917100,7.004655,6.470490,2.526761,5.936324
66,66.000000,6.849212,9.647872,9.408886,9.442767,9.426306,9.308258,9.196969,7.557374,7.687809,5.917780,7.557374,6.743821,3.814626,5.930268,7.123479,6.535764,2.755708,5.948049
67,67.000000,6.584932,8.845822,8.569734,8.203130,8.184157,8.035074,7.894667,7.032777,2.867633,6.170886,7.032777,6.523739,1.693640,6.014701,6.761290,6.383379,1.257362,6.005469
68,68.000000,6.512539,8.683860,8.415700,8.027190,8.013177,7.861843,7.719335,6.903305,2.792439,6.087275,6.903305,6.457902,1.524160,6.012500,6.665757,6.337433,1.123517,6.009110
69,69.000000,6.313147,7.602471,7.305225,6.781190,6.764007,6.579368,6.405678,6.467726,-0.190569,6.529773,6.467726,6.304528,0.501238,6.141331,6.380687,6.235958,0.444514,6.091229
70,70.000000,6.215552,7.324762,7.081455,6.536183,6.526782,6.329553,6.144064,6.286912,-0.452317,6.429760,6.286912,6.217736,0.219039,6.148561,6.250018,6.176163,0.233858,6.102307
71,71.000000,6.015154,6.537856,6.352010,5.462699,5.457127,5.280316,5.114132,5.866861,-3.034375,6.619590,5.866861,6.055740,-0.761401,6.244619,5.967596,6.069505,-0.410811,6.171414
