,Time[hr],Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE0_CNT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE1_CNT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C],GHE2_CNT[C]
1,1.000000,6.458878,3.535244,3.535244,6.458878,1.972067,3.405254,6.458878,3.378434,3.392965,6.458878,1.972067,3.391259,6.458878,3.361033,3.388821,6.458878,1.972067,3.382249,3.382249,4.920563,-9.316823,6.458878,6.458878,3.382249,4.920558,-9.316793,6.458868,6.458875,3.382249,4.920569,-9.316858,6.458890,6.458878
2,2.000000,6.078098,3.116411,3.116411,6.078098,1.570450,2.987199,6.078098,2.981389,2.984417,6.078098,1.570450,2.982827,6.078098,2.963432,2.981358,6.078098,1.570450,2.977757,2.977757,4.527927,-9.580263,6.078098,6.078098,2.977757,4.527922,-9.580228,6.078086,6.078094,2.977757,4.527934,-9.580303,6.078110,6.078098
3,3.000000,5.871805,2.914195,2.914195,5.871805,1.402797,2.789386,5.871805,2.803233,2.795697,5.871805,1.402797,2.794025,5.871805,2.785187,2.793279,5.871805,1.402797,2.791741,2.791741,4.331773,-9.363115,5.871805,5.871805,2.791741,4.331767,-9.363080,5.871793,5.871801,2.791741,4.331779,-9.363155,5.871818,5.871805
4,4.000000,5.660177,2.698260,2.698260,5.660177,1.214845,2.577123,5.660177,2.608605,2.592093,5.660177,1.214845,2.590566,5.660177,2.590405,2.590553,5.660177,1.214845,2.589100,2.589100,4.124639,-9.821293,5.660177,5.660177,2.589100,4.124633,-9.821255,5.660165,5.660173,2.589100,4.124646,-9.821337,5.660191,5.660177
5,5.000000,5.563784,2.671385,2.671385,5.563784,1.139491,2.547330,5.563784,2.527473,2.538333,5.563784,1.139491,2.536683,5.563784,2.509256,2.534343,5.563784,1.139491,2.530759,2.530759,4.047272,-9.454643,5.563784,5.563784,2.530759,4.047266,-9.454606,5.563772,5.563780,2.530759,4.047278,-9.454684,5.563797,5.563784
6,6.000000,5.422427,2.541934,2.541934,5.422427,1.010376,2.418538,5.422427,2.394811,2.407291,5.422427,1.010376,2.405182,5.422427,2.376476,2.402938,5.422427,1.010376,2.384451,2.384451,3.903439,-9.955054,5.422427,5.422427,2.384451,3.903433,-9.955016,5.422415,5.422423,2.384451,3.903445,-9.955098,5.422440,5.422427
7,7.000000,5.185799,2.776847,2.776847,5.185799,0.792512,2.648310,5.185799,2.171460,2.457480,5.185799,0.792512,2.455739,5.185799,2.152918,2.435772,5.185799,0.792512,2.369211,2.369211,3.777505,-10.240433,5.185799,5.185799,2.369211,3.777499,-10.240392,5.185787,5.185795,2.369211,3.777511,-10.240480,5.185811,5.185799
8,8.000000,5.145700,3.242825,3.242825,5.145700,0.774159,3.055694,5.145700,2.147160,2.637587,5.145700,0.774159,2.635617,5.145700,2.128686,2.602366,5.145700,0.774159,2.519771,2.519771,3.832736,-9.142174,5.145700,5.145700,2.519771,3.832730,-9.142138,5.145690,5.145696,2.519771,3.832741,-9.142215,5.145712,5.145700
9,9.000000,5.189584,3.329305,3.329305,5.189584,0.820347,3.072662,5.189584,2.192802,2.692861,5.189584,0.820347,2.690671,5.189584,2.174400,2.656310,5.189584,0.820347,2.571322,2.571322,3.880453,-8.551618,5.189584,5.189584,2.571322,3.880448,-8.551586,5.189574,5.189580,2.571322,3.880459,-8.551655,5.189595,5.189584
10,10.000000,5.214730,3.774409,3.774409,5.214730,0.840975,3.370277,5.214730,2.214702,2.848140,5.214730,0.840975,2.845772,5.214730,2.196307,2.803158,5.214730,0.840975,2.719775,2.719775,3.967252,-7.774037,5.214730,5.214730,2.719775,3.967248,-7.774009,5.214721,5.214726,2.719775,3.967258,-7.774069,5.214740,5.214730
11,11.000000,5.275961,3.951280,3.951280,5.275961,0.898342,3.452408,5.275961,2.273229,2.964070,5.275961,0.898342,2.961417,5.275961,2.283840,2.919547,5.275961,0.898342,2.836757,2.836757,4.056359,-7.141015,5.275961,5.275961,2.836757,4.056355,-7.140990,5.275952,5.275958,2.836757,4.056364,-7.141044,5.275971,5.275961
12,12.000000,5.297316,4.094503,4.094503,5.297316,0.913770,3.565796,5.297316,2.290302,3.024977,5.297316,0.913770,3.021676,5.297316,2.485197,2.991129,5.297316,0.913770,2.921681,2.921681,4.109498,-6.857369,5.297316,5.297316,2.921681,4.109494,-6.857346,5.297308,5.297313,2.921681,4.109503,-6.857396,5.297325,5.297316
13,13.000000,5.349765,4.258846,4.258846,5.349765,0.962927,3.702842,5.349765,2.340445,3.162439,5.349765,0.962927,3.158679,5.349765,2.749481,3.136369,5.349765,0.962927,3.068749,3.068749,4.209257,-6.162469,5.349765,5.349765,3.068749,4.209253,-6.162449,5.349757,5.349762,3.068749,4.209261,-6.162492,5.349773,5.349765
14,14.000000,5.360862,4.363380,4.363380,5.360862,0.969146,3.785430,5.360862,2.348003,3.184584,5.360862,0.969146,3.179833,5.360862,2.914463,3.167252,5.360862,0.969146,3.107373,3.107373,4.234118,-6.177036,5.360862,5.360862,3.107373,4.234114,-6.177016,5.360855,5.360860,3.107373,4.234122,-6.177059,5.360871,5.360862
15,15.000000,5.385140,4.455620,4.455620,5.385140,0.991795,3.864129,5.385140,2.371136,3.259869,5.385140,0.991795,3.256065,5.385140,3.005419,3.244819,5.385140,0.991795,3.189374,3.189374,4.287257,-5.831959,5.385140,5.385140,3.189374,4.287253,-5.831940,5.385133,5.385137,3.189374,4.287261,-5.831981,5.385148,5.385140
16,16.000000,5.359335,4.470168,4.470168,5.359335,0.964575,3.873727,5.359335,2.344249,3.201982,5.359335,0.964575,3.199104,5.359335,2.890594,3.186299,5.359335,0.964575,3.127571,3.127571,4.243453,-6.299982,5.359335,5.359335,3.127571,4.243449,-6.299961,5.359327,5.359332,3.127571,4.243457,-6.300006,5.359343,5.359335
17,17.000000,5.341300,4.461943,4.461943,5.341300,0.949282,3.870720,5.341300,2.328183,3.201810,5.341300,0.949282,3.199004,5.341300,2.654757,3.174934,5.341300,0.949282,3.106881,3.106881,4.224090,-6.361050,5.341300,5.341300,3.106881,4.224087,-6.361029,5.341292,5.341297,3.106881,4.224095,-6.361075,5.341308,5.341300
18,18.000000,5.235919,3.687925,3.687925,5.235919,0.848346,3.340721,5.235919,2.225850,2.859732,5.235919,0.848346,2.857486,5.235919,2.446597,2.841040,5.235919,0.848346,2.770772,2.770772,4.003345,-8.037021,5.235919,5.235919,2.770772,4.003341,-8.036993,5.235910,5.235916,2.770772,4.003350,-8.037054,5.235929,5.235919
19,19.000000,5.215654,3.201262,3.201262,5.215654,0.837830,3.018719,5.215654,2.212662,2.672123,5.215654,0.837830,2.670026,5.215654,2.432387,2.660005,5.215654,0.837830,2.581652,2.581652,3.898653,-8.293689,5.215654,5.215654,2.581652,3.898649,-8.293660,5.215645,5.215651,2.581652,3.898658,-8.293722,5.215665,5.215654
