,Time[hr],Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
1,13.000000,13.713992,13.706635,13.905583,13.623033,13.794416,13.614092,13.523934,13.905583,-2.165003,14.287231,13.614669,13.951695,-1.911872,14.288721,13.539449,13.913469,-2.121730,14.287489
2,15.941415,13.619929,13.612765,13.815327,13.533765,13.708363,13.517218,13.430711,13.815327,-2.188578,14.199944,13.525431,13.868428,-1.951752,14.211426,13.442842,13.822313,-2.159301,14.201785
3,131.741324,13.996897,15.511841,14.817144,14.369133,14.342028,14.038485,15.220930,14.817144,1.450454,14.413357,14.355881,14.329907,0.093302,14.303933,13.920382,14.084342,-0.588967,14.248303
4,134.258676,14.478429,15.753945,14.970306,15.220620,14.938121,14.682381,15.509212,14.970306,2.302791,14.431400,15.209438,14.700719,2.173802,14.191999,14.582812,14.359134,0.955795,14.135457
5,441.633583,14.018654,15.548368,14.867004,14.414620,14.379080,14.072556,15.254677,14.867004,1.379214,14.479330,14.401237,14.359693,0.147797,14.318150,13.953290,14.093356,-0.498310,14.233422
6,442.682661,13.782335,15.089428,14.741587,14.354956,14.342529,13.720410,14.838784,14.741587,0.404394,14.644389,14.343516,14.341666,0.007697,14.339816,13.618591,13.969470,-1.459845,14.320349
7,447.317339,13.150625,14.033714,14.169030,13.095830,13.375034,12.955431,13.864816,14.169030,-1.869668,14.473244,13.088129,13.626077,-3.306176,14.164025,12.886746,13.452202,-3.475241,14.017659
8,448.366417,13.482169,14.777162,14.431353,14.048439,14.030162,13.413933,14.528935,14.431353,0.409398,14.333772,14.037109,14.024084,0.054643,14.011060,13.313103,13.675387,-1.519940,14.037670
9,632.785313,14.024871,15.546850,14.875958,14.425839,14.387656,14.082680,15.254636,14.875958,1.354070,14.497281,14.412523,14.365898,0.166723,14.319272,13.964012,14.094424,-0.466325,14.224836
10,641.214687,15.342612,18.040097,16.536981,16.274341,15.851229,15.673513,17.868969,16.536981,8.218782,15.204993,16.266561,15.487814,4.805116,14.709066,15.604252,15.043595,3.459429,14.482938
11,731.186007,14.040748,15.585503,14.907337,14.450220,14.410394,14.100741,15.288705,14.907337,1.343435,14.525968,14.436698,14.387378,0.173738,14.338058,13.980254,14.109885,-0.456649,14.239517
12,731.582188,14.046997,15.473051,14.833462,14.411843,14.388608,14.102886,14.955227,14.833462,0.464741,14.711698,14.399368,14.379193,0.077001,14.359019,13.991703,14.110191,-0.452238,14.228680
13,731.743592,14.036628,15.452797,14.819291,14.400605,14.368985,14.085255,14.938590,14.819291,0.458491,14.699993,14.365344,14.372171,-0.026239,14.378998,13.974847,14.107234,-0.508793,14.239621
14,734.256408,13.919652,15.296048,14.714997,14.308093,14.299090,14.023298,14.796428,14.714997,0.321881,14.633566,14.273823,14.321199,-0.187268,14.368575,13.817463,14.036440,-0.865573,14.255418
15,734.417812,13.972483,15.387061,14.725127,14.306989,14.297531,14.014138,14.873469,14.725127,0.570638,14.576784,14.271775,14.320068,-0.185772,14.368361,13.903867,14.050901,-0.565604,14.197935
16,734.813993,13.984734,15.408688,14.732865,14.311959,14.313043,14.027766,14.891665,14.732865,0.606867,14.574065,14.299506,14.324888,-0.096998,14.350269,13.916762,14.062417,-0.556633,14.208072
17,744.000000,14.035804,15.561646,14.890875,14.439627,14.401118,14.095377,15.268706,14.890875,1.347717,14.513043,14.426277,14.379104,0.168267,14.331931,13.976413,14.103680,-0.453958,14.230947
18,776.518609,14.332969,16.277962,15.233063,14.888848,14.730340,14.488885,15.960882,15.233063,2.435784,14.505244,14.874366,14.604318,0.903768,14.334270,14.360096,14.301966,0.194541,14.243837
19,785.481391,15.858095,18.916981,17.139608,16.956072,16.413217,16.284702,18.747451,17.139608,10.173217,15.531765,16.948343,15.944982,6.348509,14.941622,16.216039,15.449016,4.853146,14.681992
20,873.592313,14.400425,16.368001,15.320144,14.971634,14.806948,14.562572,16.046974,15.320144,2.404598,14.593314,14.956975,14.675675,0.930635,14.394375,14.432218,14.364092,0.225384,14.295966
21,874.274139,14.006578,15.218757,15.044730,13.865425,14.098040,13.947749,15.021796,15.044730,-0.123015,15.067663,13.856431,14.309448,-2.430010,14.762465,13.867590,14.165422,-1.597590,14.463255
22,879.725861,13.528236,14.031762,14.241151,13.284908,13.532924,13.410948,13.872390,14.241151,-2.431836,14.609913,13.277612,13.756322,-3.156904,14.235033,13.345908,13.736610,-2.576527,14.127313
23,880.407687,13.545087,14.740946,14.504426,13.341762,13.582716,13.434533,14.546766,14.504426,0.229871,14.462087,13.332897,13.801306,-2.543096,14.269716,13.355524,13.761730,-2.205379,14.167936
24,896.934996,14.352865,16.291686,15.258334,14.915153,14.751088,14.510356,15.975550,15.258334,2.407962,14.541118,14.900713,14.620166,0.941899,14.339620,14.381954,14.319620,0.209279,14.257286
25,905.065004,14.028177,15.676721,15.044777,14.752968,14.650734,14.057440,15.408374,15.044777,1.434212,14.681179,14.740689,14.572023,0.665304,14.403357,13.948381,14.119373,-0.674479,14.290365
26,923.597689,14.373467,16.320787,15.283642,14.938990,14.776850,14.535098,16.003316,15.283642,2.405969,14.563967,14.924490,14.647665,0.925463,14.370840,14.406145,14.336122,0.234096,14.266099
27,923.756424,14.366543,16.302446,15.281993,14.939364,14.763026,14.522701,15.986867,15.281993,2.370360,14.577119,14.898872,14.644161,0.856545,14.389450,14.394512,14.334578,0.201547,14.274644
28,926.243576,14.279086,16.154592,15.236931,14.904957,14.740097,14.507221,15.848956,15.236931,2.123777,14.624907,14.865723,14.630174,0.817377,14.394624,14.271788,14.287426,-0.054265,14.303064
29,926.402311,14.339040,16.274299,15.249877,14.907377,14.740027,14.499780,15.958833,15.249877,2.384656,14.540922,14.866900,14.629012,0.800165,14.391124,14.371635,14.301789,0.234935,14.231943
30,947.208494,14.382465,16.332130,15.295144,14.950078,14.786324,14.544282,16.014286,15.295144,2.401398,14.576002,14.935560,14.655741,0.934386,14.375922,14.415176,14.345081,0.234067,14.274985
31,950.791506,14.348074,16.163005,15.151390,14.830329,14.710527,14.485249,15.609418,15.151390,1.642823,14.693362,14.816820,14.617521,0.714832,14.418221,14.365083,14.328634,0.130732,14.292186
32,1139.663041,14.425594,16.374527,15.346204,15.001241,14.833853,14.591894,16.056792,15.346204,2.374069,14.635615,14.986728,14.700087,0.957662,14.413447,14.462828,14.383040,0.266570,14.303253
33,1142.336959,14.988004,16.560802,15.512369,15.972857,15.524664,15.329272,16.304679,15.512369,3.286368,14.720059,15.961117,15.142768,3.394376,14.324418,15.224973,14.717183,2.106225,14.209394
34,1284.090673,14.441284,16.394484,15.367848,15.022107,14.852802,14.610293,16.076036,15.367848,2.360933,14.659660,15.007560,14.717389,0.967362,14.427218,14.480932,14.395972,0.283236,14.311012
35,1285.909327,14.491660,16.414924,15.380785,15.040395,14.865788,14.680249,16.101393,15.380785,2.440221,14.660177,15.026073,14.725539,1.017709,14.425005,14.552862,14.421715,0.444107,14.290569
36,1416.000000,14.454531,16.405810,15.384337,15.038940,14.867978,14.625721,16.087684,15.384337,2.347281,14.680990,15.024408,14.731101,0.978853,14.437794,14.496493,14.406575,0.300086,14.316656
37,1431.536976,14.641771,16.851074,15.594240,15.591166,15.280455,14.932236,16.363704,15.594240,3.112020,14.824775,15.557786,15.037791,2.103065,14.517797,14.732200,14.538423,0.783710,14.344646
38,1431.786598,14.698952,16.973371,15.611911,15.608744,15.288737,14.930322,16.471498,15.611911,3.377661,14.752323,15.574385,15.038795,2.104547,14.503205,14.823981,14.556062,1.052762,14.288143
39,1432.613781,14.722323,17.010639,15.634470,15.631279,15.317353,14.956738,16.505666,15.634470,3.402762,14.763274,15.618587,15.053773,2.206078,14.488959,14.849744,14.576698,1.066477,14.303652
40,1437.074001,14.798629,17.241027,15.823889,15.820435,15.446690,15.061711,16.954646,15.823889,4.139039,14.693131,15.806881,15.131522,2.472094,14.456163,14.947490,14.628501,1.167633,14.309512
41,1857.939356,15.428818,18.212479,16.419091,16.415002,15.930806,15.843793,17.885549,16.419091,4.720100,14.952634,16.399549,15.520656,2.828902,14.641762,15.713458,15.103516,1.963225,14.493574
42,1859.928432,14.940404,16.798708,16.057375,15.188643,15.141612,15.083606,16.581268,16.057375,2.521613,15.533482,15.178362,15.109456,0.331659,15.040550,14.996731,14.876030,0.580957,14.755330
43,1862.071568,14.794630,16.069772,15.705344,14.950347,14.943970,14.893536,15.881131,15.705344,0.972250,15.529558,14.941410,14.946210,-0.026548,14.951010,14.817998,14.767924,0.276955,14.717849
44,1864.060644,14.789129,16.636103,15.877696,15.014423,14.969896,14.912261,16.420050,15.877696,2.625153,15.335342,15.004208,14.939874,0.311396,14.875540,14.825940,14.747059,0.381808,14.668178
45,2074.507393,15.478144,18.259153,16.475907,16.471808,15.984266,15.897323,17.932489,16.475907,4.693583,15.019324,16.456367,15.571177,2.852370,14.685988,15.767101,15.147907,1.995246,14.528713
46,2074.888455,16.078758,19.654346,17.326578,17.324586,16.643915,16.603304,19.501362,17.326578,15.039478,15.151794,17.317367,16.054645,8.732210,14.791924,16.542451,15.548823,6.871322,14.555195
47,2075.475514,16.968670,19.862439,17.870496,18.591941,17.684344,17.651460,19.738965,17.870496,16.018601,16.002026,18.586089,16.895317,14.495181,15.204545,17.602167,16.244673,11.637945,14.887180
48,2078.524486,18.140154,20.910934,18.929153,19.618741,18.737791,18.865538,20.792813,18.929153,16.762667,17.065493,19.613143,17.971859,14.762512,16.330574,18.818336,17.365089,13.071218,15.911841
